变量,系数,标准误,t值,p值,95%CI下限,95%CI上限
const,3.6456863183409274,0.9082337147252455,4.01403984374639,0.00012074984726707217,1.8421141597894886,5.449258476892366
感知易感性_mean,0.03746191714982376,0.09027293116172298,0.4149850533014281,0.6791086301729143,-0.1418022333374413,0.2167260676370888
感知严重性_mean,-0.029746177167695342,0.09801085243576386,-0.30349881088108005,0.7621876836177155,-0.22437630576021592,0.16488395142482523
感知益处_mean,-0.14132410268832188,0.13700723500921755,-1.0315083190958048,0.3049776125874544,-0.41339331854813055,0.13074511317148682
感知障碍_mean,0.008123307508588501,0.10622013090540917,0.07647615794996943,0.9392045642126062,-0.20280882116342383,0.21905543618060083
行动线索_mean,0.01769509454954485,0.0864626333459496,0.2046559752435968,0.8382881545039502,-0.1540025596219595,0.1893927487210492
自我效能_mean,0.09884358715763558,0.091656748993948,1.078410354311848,0.2836398225911546,-0.08316855129158601,0.2808557256068572
